time,ticker,signal
2025-02-18,SPY,1.0
2025-02-18,NVDA,1.0
2025-02-18,QQQ,1.0
2025-02-18,AAPL,1.0
2025-02-18,MSFT,1.0
2025-02-18,AMZN,-1.0
2025-02-18,IWM,-1.0
2025-02-18,IVV,-1.0
2025-02-18,GOOGL,1.0
2025-02-18,AMD,1.0
2025-02-18,GOOG,-1.0
2025-02-18,TLT,-1.0
2025-02-18,NFLX,-1.0
2025-02-18,UNH,-1.0
2025-02-18,JPM,-0.9999640583992004
2025-02-18,V,-1.0
2025-02-18,MU,1.0
2025-02-18,HYG,-1.0
2025-02-18,BA,-1.0
2025-02-18,WMT,-1.0
2025-02-18,XLF,-1.0
2025-02-18,XOM,1.0
2025-02-18,LQD,1.0
2025-02-18,CVX,-1.0
2025-02-18,DIA,1.0
2025-02-18,CSCO,1.0
2025-02-18,BAC,-1.0
2025-02-18,PG,-1.0
2025-02-18,GLD,1.0
2025-02-18,PFE,1.0
2025-02-19,SPY,1.0
2025-02-19,NVDA,1.0
2025-02-19,QQQ,1.0
2025-02-19,AAPL,1.0
2025-02-19,MSFT,1.0
2025-02-19,AMZN,-1.0
2025-02-19,IWM,-1.0
2025-02-19,IVV,-1.0
2025-02-19,GOOGL,1.0
2025-02-19,AMD,1.0
2025-02-19,GOOG,-1.0
2025-02-19,TLT,-1.0
2025-02-19,NFLX,-1.0
2025-02-19,UNH,-1.0
2025-02-19,JPM,-0.9999751448631287
2025-02-19,V,-1.0
2025-02-19,MU,1.0
2025-02-19,HYG,-1.0
2025-02-19,BA,-1.0
2025-02-19,WMT,-1.0
2025-02-19,XLF,-1.0
2025-02-19,XOM,1.0
2025-02-19,LQD,1.0
2025-02-19,CVX,-1.0
2025-02-19,DIA,1.0
2025-02-19,CSCO,1.0
2025-02-19,BAC,-1.0
2025-02-19,PG,-1.0
2025-02-19,GLD,1.0
2025-02-19,PFE,1.0
2025-02-20,SPY,1.0
2025-02-20,NVDA,1.0
2025-02-20,QQQ,1.0
2025-02-20,AAPL,1.0
2025-02-20,MSFT,1.0
2025-02-20,AMZN,-1.0
2025-02-20,IWM,-1.0
2025-02-20,IVV,-1.0
2025-02-20,GOOGL,1.0
2025-02-20,AMD,1.0
2025-02-20,GOOG,-1.0
2025-02-20,TLT,-1.0
2025-02-20,NFLX,-1.0
2025-02-20,UNH,-1.0
2025-02-20,JPM,-0.9999921917915344
2025-02-20,V,-1.0
2025-02-20,MU,1.0
2025-02-20,HYG,-1.0
2025-02-20,BA,-1.0
2025-02-20,WMT,-1.0
2025-02-20,XLF,-1.0
2025-02-20,XOM,1.0
2025-02-20,LQD,1.0
2025-02-20,CVX,-1.0
2025-02-20,DIA,1.0
2025-02-20,CSCO,1.0
2025-02-20,BAC,-1.0
2025-02-20,PG,-1.0
2025-02-20,GLD,1.0
2025-02-20,PFE,1.0
2025-02-21,SPY,1.0
2025-02-21,NVDA,1.0
2025-02-21,QQQ,1.0
2025-02-21,AAPL,1.0
2025-02-21,MSFT,1.0
2025-02-21,AMZN,-1.0
2025-02-21,IWM,-1.0
2025-02-21,IVV,-1.0
2025-02-21,GOOGL,1.0
2025-02-21,AMD,1.0
2025-02-21,GOOG,-1.0
2025-02-21,TLT,-1.0
2025-02-21,NFLX,-1.0
2025-02-21,UNH,-1.0
2025-02-21,JPM,-0.9999882578849792
2025-02-21,V,-1.0
2025-02-21,MU,1.0
2025-02-21,HYG,-1.0
2025-02-21,BA,-1.0
2025-02-21,WMT,-1.0
2025-02-21,XLF,-1.0
2025-02-21,XOM,1.0
2025-02-21,LQD,1.0
2025-02-21,CVX,-1.0
2025-02-21,DIA,1.0
2025-02-21,CSCO,1.0
2025-02-21,BAC,-1.0
2025-02-21,PG,-1.0
2025-02-21,GLD,1.0
2025-02-21,PFE,1.0
2025-02-24,SPY,1.0
2025-02-24,NVDA,1.0
2025-02-24,QQQ,1.0
2025-02-24,AAPL,1.0
2025-02-24,MSFT,1.0
2025-02-24,AMZN,-1.0
2025-02-24,IWM,-1.0
2025-02-24,IVV,-1.0
2025-02-24,GOOGL,1.0
2025-02-24,AMD,1.0
2025-02-24,GOOG,-1.0
2025-02-24,TLT,-1.0
2025-02-24,NFLX,-1.0
2025-02-24,UNH,-1.0
2025-02-24,JPM,-0.9979897737503052
2025-02-24,V,-1.0
2025-02-24,MU,1.0
2025-02-24,HYG,-1.0
2025-02-24,BA,-1.0
2025-02-24,WMT,-1.0
2025-02-24,XLF,-1.0
2025-02-24,XOM,1.0
2025-02-24,LQD,1.0
2025-02-24,CVX,-1.0
2025-02-24,DIA,1.0
2025-02-24,CSCO,1.0
2025-02-24,BAC,-1.0
2025-02-24,PG,-1.0
2025-02-24,GLD,1.0
2025-02-24,PFE,1.0
2025-02-25,SPY,1.0
2025-02-25,NVDA,1.0
2025-02-25,QQQ,1.0
2025-02-25,AAPL,1.0
2025-02-25,MSFT,1.0
2025-02-25,AMZN,-1.0
2025-02-25,IWM,-1.0
2025-02-25,IVV,-1.0
2025-02-25,GOOGL,1.0
2025-02-25,AMD,1.0
2025-02-25,GOOG,-1.0
2025-02-25,TLT,-1.0
2025-02-25,NFLX,-1.0
2025-02-25,UNH,-1.0
2025-02-25,JPM,-0.9720160961151123
2025-02-25,V,-1.0
2025-02-25,MU,1.0
2025-02-25,HYG,-1.0
2025-02-25,BA,-1.0
2025-02-25,WMT,-1.0
2025-02-25,XLF,-1.0
2025-02-25,XOM,1.0
2025-02-25,LQD,1.0
2025-02-25,CVX,-1.0
2025-02-25,DIA,1.0
2025-02-25,CSCO,1.0
2025-02-25,BAC,-1.0
2025-02-25,PG,-1.0
2025-02-25,GLD,1.0
2025-02-25,PFE,1.0
2025-02-26,SPY,1.0
2025-02-26,NVDA,1.0
2025-02-26,QQQ,1.0
2025-02-26,AAPL,1.0
2025-02-26,MSFT,1.0
2025-02-26,AMZN,-1.0
2025-02-26,IWM,-1.0
2025-02-26,IVV,-1.0
2025-02-26,GOOGL,1.0
2025-02-26,AMD,1.0
2025-02-26,GOOG,-1.0
2025-02-26,TLT,-1.0
2025-02-26,NFLX,-1.0
2025-02-26,UNH,-1.0
2025-02-26,JPM,-0.9703809022903442
2025-02-26,V,-1.0
2025-02-26,MU,1.0
2025-02-26,HYG,-1.0
2025-02-26,BA,-1.0
2025-02-26,WMT,-1.0
2025-02-26,XLF,-1.0
2025-02-26,XOM,1.0
2025-02-26,LQD,1.0
2025-02-26,CVX,-1.0
2025-02-26,DIA,1.0
2025-02-26,CSCO,1.0
2025-02-26,BAC,-1.0
2025-02-26,PG,-1.0
2025-02-26,GLD,1.0
2025-02-26,PFE,1.0
2025-02-27,SPY,1.0
2025-02-27,NVDA,1.0
2025-02-27,QQQ,1.0
2025-02-27,AAPL,1.0
2025-02-27,MSFT,1.0
2025-02-27,AMZN,-1.0
2025-02-27,IWM,-1.0
2025-02-27,IVV,-1.0
2025-02-27,GOOGL,1.0
2025-02-27,AMD,1.0
2025-02-27,GOOG,-1.0
2025-02-27,TLT,-1.0
2025-02-27,NFLX,-1.0
2025-02-27,UNH,-1.0
2025-02-27,JPM,0.837208092212677
2025-02-27,V,-1.0
2025-02-27,MU,1.0
2025-02-27,HYG,-1.0
2025-02-27,BA,-1.0
2025-02-27,WMT,-1.0
2025-02-27,XLF,-1.0
2025-02-27,XOM,1.0
2025-02-27,LQD,1.0
2025-02-27,CVX,-1.0
2025-02-27,DIA,1.0
2025-02-27,CSCO,1.0
2025-02-27,BAC,-1.0
2025-02-27,PG,-1.0
2025-02-27,GLD,1.0
2025-02-27,PFE,1.0
2025-02-28,SPY,1.0
2025-02-28,NVDA,1.0
2025-02-28,QQQ,1.0
2025-02-28,AAPL,1.0
2025-02-28,MSFT,1.0
2025-02-28,AMZN,-1.0
2025-02-28,IWM,-1.0
2025-02-28,IVV,-1.0
2025-02-28,GOOGL,1.0
2025-02-28,AMD,1.0
2025-02-28,GOOG,-1.0
2025-02-28,TLT,-1.0
2025-02-28,NFLX,-1.0
2025-02-28,UNH,-1.0
2025-02-28,JPM,0.7749353647232056
2025-02-28,V,-1.0
2025-02-28,MU,1.0
2025-02-28,HYG,-1.0
2025-02-28,BA,-1.0
2025-02-28,WMT,-1.0
2025-02-28,XLF,-1.0
2025-02-28,XOM,1.0
2025-02-28,LQD,1.0
2025-02-28,CVX,-1.0
2025-02-28,DIA,1.0
2025-02-28,CSCO,1.0
2025-02-28,BAC,-1.0
2025-02-28,PG,-1.0
2025-02-28,GLD,1.0
2025-02-28,PFE,1.0
2025-03-03,SPY,1.0
2025-03-03,NVDA,1.0
2025-03-03,QQQ,1.0
2025-03-03,AAPL,1.0
2025-03-03,MSFT,1.0
2025-03-03,AMZN,-1.0
2025-03-03,IWM,-1.0
2025-03-03,IVV,-1.0
2025-03-03,GOOGL,1.0
2025-03-03,AMD,1.0
2025-03-03,GOOG,-1.0
2025-03-03,TLT,-1.0
2025-03-03,NFLX,-1.0
2025-03-03,UNH,-1.0
2025-03-03,JPM,0.9999436736106873
2025-03-03,V,-1.0
2025-03-03,MU,1.0
2025-03-03,HYG,-1.0
2025-03-03,BA,-1.0
2025-03-03,WMT,-1.0
2025-03-03,XLF,-1.0
2025-03-03,XOM,1.0
2025-03-03,LQD,1.0
2025-03-03,CVX,-1.0
2025-03-03,DIA,1.0
2025-03-03,CSCO,1.0
2025-03-03,BAC,-1.0
2025-03-03,PG,-1.0
2025-03-03,GLD,1.0
2025-03-03,PFE,1.0
2025-03-04,SPY,1.0
2025-03-04,NVDA,1.0
2025-03-04,QQQ,1.0
2025-03-04,AAPL,1.0
2025-03-04,MSFT,1.0
2025-03-04,AMZN,-1.0
2025-03-04,IWM,-1.0
2025-03-04,IVV,-1.0
2025-03-04,GOOGL,1.0
2025-03-04,AMD,1.0
2025-03-04,GOOG,-1.0
2025-03-04,TLT,-1.0
2025-03-04,NFLX,-1.0
2025-03-04,UNH,-1.0
2025-03-04,JPM,0.9999168515205383
2025-03-04,V,-1.0
2025-03-04,MU,1.0
2025-03-04,HYG,-1.0
2025-03-04,BA,-1.0
2025-03-04,WMT,-1.0
2025-03-04,XLF,-1.0
2025-03-04,XOM,1.0
2025-03-04,LQD,1.0
2025-03-04,CVX,-1.0
2025-03-04,DIA,1.0
2025-03-04,CSCO,1.0
2025-03-04,BAC,-1.0
2025-03-04,PG,-1.0
2025-03-04,GLD,1.0
2025-03-04,PFE,1.0
2025-03-05,SPY,1.0
2025-03-05,NVDA,1.0
2025-03-05,QQQ,1.0
2025-03-05,AAPL,1.0
2025-03-05,MSFT,1.0
2025-03-05,AMZN,-1.0
2025-03-05,IWM,-1.0
2025-03-05,IVV,-1.0
2025-03-05,GOOGL,1.0
2025-03-05,AMD,1.0
2025-03-05,GOOG,-1.0
2025-03-05,TLT,-1.0
2025-03-05,NFLX,-1.0
2025-03-05,UNH,-1.0
2025-03-05,JPM,0.9999794960021973
2025-03-05,V,-1.0
2025-03-05,MU,1.0
2025-03-05,HYG,-1.0
2025-03-05,BA,-1.0
2025-03-05,WMT,-1.0
2025-03-05,XLF,-1.0
2025-03-05,XOM,1.0
2025-03-05,LQD,1.0
2025-03-05,CVX,-1.0
2025-03-05,DIA,1.0
2025-03-05,CSCO,1.0
2025-03-05,BAC,-1.0
2025-03-05,PG,-1.0
2025-03-05,GLD,1.0
2025-03-05,PFE,1.0
2025-03-06,SPY,1.0
2025-03-06,NVDA,1.0
2025-03-06,QQQ,1.0
2025-03-06,AAPL,1.0
2025-03-06,MSFT,1.0
2025-03-06,AMZN,-1.0
2025-03-06,IWM,-1.0
2025-03-06,IVV,-1.0
2025-03-06,GOOGL,1.0
2025-03-06,AMD,1.0
2025-03-06,GOOG,-1.0
2025-03-06,TLT,-1.0
2025-03-06,NFLX,-1.0
2025-03-06,UNH,-1.0
2025-03-06,JPM,0.9999737739562988
2025-03-06,V,-1.0
2025-03-06,MU,1.0
2025-03-06,HYG,-1.0
